[GC 60827K->16811K(130560K), 0.0022620 secs]
[GC 59819K->16811K(129536K), 0.0024830 secs]
[GC 58795K->16779K(128512K), 0.0023230 secs]
[GC 57739K->16811K(127488K), 0.0022500 secs]
[GC 56747K->16811K(126464K), 0.0022880 secs]
[GC 55723K->16827K(134656K), 0.0023270 secs]
[GC 63931K->16827K(133632K), 0.0023190 secs]
[GC 62907K->16827K(132608K), 0.0023000 secs]
[GC 61883K->16827K(131584K), 0.0022620 secs]
[GC 60859K->16835K(130560K), 0.0024410 secs]
[GC 59843K->16835K(129536K), 0.0023510 secs]
[GC 58819K->16835K(128512K), 0.0023030 secs]
[GC 57795K->16835K(127488K), 0.0022730 secs]
[GC 56771K->16835K(135680K), 0.0024090 secs]
[GC 64963K->16811K(145408K), 0.0027590 secs]
[GC 74667K->16843K(143872K), 0.0023230 secs]
[GC 73163K->16843K(142336K), 0.0022330 secs]
[GC 71627K->16859K(140800K), 0.0021660 secs]
[GC 70107K->16859K(139264K), 0.0023330 secs]
[GC 68571K->16859K(137728K), 0.0023520 secs]
[GC 67035K->16859K(136704K), 0.0021910 secs]
[GC 66011K->16867K(135680K), 0.0024880 secs]
[GC 64995K->16867K(134656K), 0.0023320 secs]
[GC 63971K->16883K(133632K), 0.0022860 secs]
[GC 62963K->16883K(132608K), 0.0022470 secs]
[GC 61939K->16891K(131584K), 0.0026040 secs]
[GC 60923K->16891K(130560K), 0.0023380 secs]
[GC 59899K->16891K(129536K), 0.0023480 secs]
[GC 58875K->16899K(128512K), 0.0022830 secs]
[GC 57859K->16923K(127488K), 0.0023080 secs]
[GC 56859K->16923K(126464K), 0.0022700 secs]
[GC 55835K->16923K(134656K), 0.0023410 secs]
[GC 64027K->16923K(144384K), 0.0032410 secs]
[GC 73755K->16923K(142848K), 0.0024640 secs]
[GC 72219K->16939K(141312K), 0.0023470 secs]
[GC 70699K->16939K(139776K), 0.0022120 secs]
[GC 69163K->16939K(138240K), 0.0022420 secs]
[GC 67627K->16947K(137216K), 0.0024950 secs]
[GC 66611K->16947K(136192K), 0.0022920 secs]
[GC 65584K->16915K(135168K), 0.0024130 secs]
[GC 64531K->16963K(134144K), 0.0023100 secs]
[GC 63555K->16971K(133120K), 0.0022900 secs]
[GC 62539K->16971K(132096K), 0.0022970 secs]
[GC 61515K->16987K(131072K), 0.0022500 secs]
[GC 60507K->16987K(130048K), 0.0023150 secs]
[GC 59483K->16971K(129024K), 0.0023330 secs]
[GC 58440K->17003K(128000K), 0.0023030 secs]
[GC 57451K->17003K(126976K), 0.0022510 secs]
[GC 56427K->17003K(125952K), 0.0022620 secs]
[GC 55403K->17003K(133632K), 0.0022870 secs]
[GC 63083K->17011K(132608K), 0.0023170 secs]
[GC 62067K->17011K(131584K), 0.0022800 secs]
[GC 61043K->17019K(130560K), 0.0023400 secs]
[GC 60027K->17019K(129536K), 0.0022890 secs]
[GC 59003K->17027K(128512K), 0.0023090 secs]
[GC 57987K->17027K(136704K), 0.0024480 secs]
[GC 66179K->17027K(135680K), 0.0024280 secs]
[GC 65155K->17003K(134656K), 0.0022580 secs]
[GC 64107K->17051K(133632K), 0.0024400 secs]
[GC 63131K->17059K(132608K), 0.0022790 secs]
[GC 62115K->17059K(131584K), 0.0023270 secs]
[GC 61091K->17059K(130560K), 0.0022920 secs]
[GC 60067K->17059K(129536K), 0.0024910 secs]
[GC 59043K->17075K(128512K), 0.0022770 secs]
[GC 58035K->17075K(127488K), 0.0022690 secs]
[GC 57011K->17075K(135680K), 0.0025220 secs]
[GC 65203K->17075K(134656K), 0.0021200 secs]
[GC 64179K->17083K(133632K), 0.0022770 secs]
[GC 63163K->17083K(132608K), 0.0023500 secs]
[GC 62139K->17099K(131584K), 0.0022760 secs]
[GC 61131K->17107K(130560K), 0.0022820 secs]
[GC 60115K->17115K(129536K), 0.0022850 secs]
[GC 59099K->17115K(128512K), 0.0022780 secs]
[GC 58075K->17115K(127488K), 0.0023210 secs]
[GC 57051K->17083K(135680K), 0.0033050 secs]
[GC 65211K->17083K(145408K), 0.0029500 secs]
[GC 74939K->17123K(143872K), 0.0023420 secs]
[GC 73443K->17123K(142336K), 0.0023180 secs]
[GC 71907K->17123K(140800K), 0.0023180 secs]
[GC 70371K->17107K(139264K), 0.0025670 secs]
[GC 68819K->17139K(137728K), 0.0024210 secs]
[GC 67315K->17139K(136704K), 0.0023150 secs]
[GC 66291K->17139K(135680K), 0.0023470 secs]
[GC 65267K->17147K(134656K), 0.0022760 secs]
[GC 64251K->17147K(133632K), 0.0022770 secs]
[GC 63227K->17147K(132608K), 0.0022770 secs]
[GC 62203K->17147K(131584K), 0.0023500 secs]
[GC 61179K->17155K(130560K), 0.0026550 secs]
[GC 60163K->17155K(129536K), 0.0021660 secs]
[GC 59139K->17155K(128512K), 0.0023990 secs]
[GC 58115K->17163K(127488K), 0.0022470 secs]
[GC 57099K->17179K(126464K), 0.0022030 secs]
[GC 56091K->17179K(125440K), 0.0022400 secs]
[GC 55067K->17187K(133120K), 0.0023090 secs]
[GC 62755K->17187K(142336K), 0.0022810 secs]
